abs_link,title,er,loc,exp,post_date,ref_no,content,career_lv
https://www.ctgoodjobs.hk/job/internship-june-august/05153385,Internship (June - August),Yes Plum Limited," 5 Locations
", 0-1 yr(s)," 2018-06-02
",Job ref no.: CT3115812-01#0010,"Career opportunities in Plum 工作機會. . Be coached and mentored directly by CEO. . 直接與CEO對話，意見交流. . Coordinate & execute regional projects. . 參興及實行國際性的企業計劃. . Support daily operation of the business including user acquisition,     marketing, sales management and logistics management. . 支援日常工作程序，包括收集 資料、市場推廣、銷售推廣及物流管理. . . Requirements 要求. . Passionate for a career in tech startup business. . 致力於新開創的公司. . Excellent interpersonal and communication skills. . 良好的人際關係及溝通技巧. . Self-starter who is eager to learn and explore. . 對學習未知的層面擁有正向能量. . Flexibility and adaptability. . 靈活變通及樂於適應新挑戰. . Come join us to disrupt the way people have lunch.. We offer an attractive remuneration package and the opportunity to work in a dynamic and exciting environment. Please send your resume stating your right to work in Hong Kong, current and expected salary and your availability to commence employment by clicking. Apply Now. .. Personal data collected will be used for recruitment purpose only. 所有個人資料只供招聘用途",Entry level
https://www.ctgoodjobs.hk/job/associate-management-trainee-graduates/05153383,Associate / Management Trainee (Graduates),Yes Plum Limited," 5 Locations
", 0-2 yr(s)," 2018-06-02
",Job ref no.: CT3115812-01#0008,"Career opportunities in Plum 工作機會. . Drive strategy, build an innovative business that will impact millions of people. . 高曕遠觸，創新思維. . Be coached and mentored directly by CEO. . 直接與CEO對話，意見交流. . Involve in decision making at the highest level. . 高度決策. . Coordinate & execute regional projects. . 參興及實行國際性的企業計劃. . Support daily operation of the business including user acquisition,     marketing, sales management and logistics management. . 支援日常工作程序，包括收集 資料、市場推廣、銷售推廣及物流管理. . . Requirements 要求. . Passionate for a career in tech startup business. . 致力於新開創的公司. . Excellent interpersonal and communication skills. . 良好的人際關係及溝通技巧. . Self-starter who is eager to learn and explore. . 對學習未知的層面擁有正向能量. . Flexibility and adaptability. . 靈活變通及樂於適應新挑戰. . . Come join us to disrupt the way people have lunch.. We offer an attractive remuneration package and the opportunity to work in a dynamic and exciting environment. Please send your resume stating your right to work in Hong Kong, current and expected salary and your availability to commence employment by clicking. Apply Now. .. Personal data collected will be used for recruitment purpose only. 所有個人資料只供招聘用途",Entry level
https://www.ctgoodjobs.hk/job/accounting-officerassistant-accountant/05153362,Accounting Officer/Assistant Accountant,Tai Heng International Limited," Tsimshatsui
", 2-15 yr(s)," 2018-06-02
",Job ref no.: CT3115712-01#0004,"Responsibilities:. . Handle full set of accounts, independently;. . Perform daily financial & operational duties;. . Handle inter-company transactions eq. A/P & A/R, accounts reconciliations;. . Responsible for daily accounting operations & assist in monthly-end/year-end closing.. . Participate in other ad hoc duties as required from time to time.. . Report to the accounting Manager.. . Requirements:. . 2 to 15 years relevant working experience in Accounting;. . LCC Higher or Diploma in Accounting or AAT completed;. . Knowledge of accounting system and excel, knowledge of “Kingdee"" would be an advantage;. . Good command of written English and Chinese. Fluency in Cantonese and Mandarin is preferred.. . Good interpersonal skills, high integrity, self-motivated and responsible;. . Independent, able to work under pressure with tight deadlines in a fast growing company;. . Immediate available is highly preferred.. . We offer medical insurance, performance bonus, double pay with attractive package to the right candidates.. All personal data received will be used for recruitment purpose only.. ",Non-management level
https://www.ctgoodjobs.hk/job/part-time-assistant-hk100hour/05153386,Part Time Assistant (HK$100/hour),Yes Plum Limited," 3 Locations
", 0 yr(s)," 2018-06-02
",Job ref no.: CT3115812-01#0011,"(from 10:30a.m - 01:30p.m). Career opportunities in Plum. 工作機會. . Support daily operation of the business including user acquisition, marketing and logistics management. . 支援日常工作程序，包括收集資料、市場推廣及物流管理. . Requirements. 要求. . Passionate for a career in tech startup business. . 致力於新開創的公司. . Excellent interpersonal and communication skills. . 良好的人際關係及溝通技巧. . Flexibility and adaptability. . 靈活變通及樂於適應新挑戰. . Come join us to disrupt the way people have lunch.. We offer an attractive remuneration package and the opportunity to work in a dynamic and exciting environment. Please send your resume stating your right to work in Hong Kong, current and expected salary and your availability to commence employment by clicking. Apply Now. .. Personal data collected will be used for recruitment purpose only. 所有個人資料只供招聘用途",Entry level
https://www.ctgoodjobs.hk/job/storekeeper-倉務員/05153361,Storekeeper ( 倉 務 員 ),YesStyle.com Ltd," Tsing Yi
", 0-1 yr(s)," 2018-06-02
",Job ref no.: SK/06/02/CT,"職責. :. . 負責存倉和處理產品, 以服裝、美容產品為主. . 出貨, 收貨, 包裝貨品. . 處理其他雜務工作. . 要求. :. . 中五程度. . 相關工作經驗. . 略懂電腦應用. . 薪酬及福利:. 每月享有8天休假 (公眾假期或需要上班，假期將會後補). 有薪年假可高達15天. 試用期滿，享有牙醫、門診及住院津貼、員工購物優惠、生日假、婚假、男仕侍產假. 工作時間: 星期一至六輪班工作 (早上8:40 至下午 5:50). 工作地點: 青衣工業中心 (從青衣碼頭巴士總站或公共小巴總站步行5分鐘即可抵達). 工作設施: 全層設有冷氣空調、茶水間、獨立儲物櫃、微波爐、雪櫃等設備供員工享用。. 求職者請於辦公時間內致電2746-6555與余小姐或 2746-7010與鄧小姐聯絡。. 公司網頁：. www.yesasia.com. /. www.yesstyle.com. 申請者提供之資料絕對保密，及只作招聘用途。",Entry level
https://www.ctgoodjobs.hk/job/associate-customer-advocacy/05153384,Associate - Customer Advocacy,Yes Plum Limited," 5 Locations
", 0-1 yr(s)," 2018-06-02
",Job ref no.: CT3115812-01#0009,"Responsibilities. . This role is critical to our company’s mission, as you will be the main point of contact for our customers and provide world class customer service.. . 以客為先，代表公司與顧客聯繫，提供頂級的客戶服務. . Provides exceptional customer service by interacting with customers via phone, email, and chat to resolve their inquiries. . 以不同的形式聯繫顧客，盡力解答顧客的查詢. . Obtains all necessary information during call to accurately collect feedback on Plum experience. . 全神貫注，用心傾聽. . Represents Plum professionally in all communication formats. . 以專業的態度應對多元化通訊模式的溝通. . Works with the team on a wider scale to ensure that all aspects of customer communication and service are dealt with. . 以團隊合作的精神滿足顧客的需要. . . Requirements. . Working experience in customer support, customer-facing and sales role preferred. . 顧客服務經驗. . Excellent command of both written and spoken Cantonese and English. Mandarin is an advantage. . 良好中、英文溝通能力，懂普通話更為佳. . Ability to streamline processes with strong attention to detail. . 具備組織能力，化繁為簡. . Provide exceptional service to customers and communicate their feedback to internal teams. . 服務熱忱、樂於服務顧客. . Ability to remain calm in high pressure situations. . 良好抗壓能力. . Energetic, takes initiative and is a fast learner. . 靈活變通及樂於適應新挑戰. . Able to work independently and is a team player. . 主動參與團隊，高度合作. . Come join us to disrupt the way people have lunch.. We offer an attractive remuneration package and the opportunity to work in a dynamic and exciting environment. Please send your resume stating your right to work in Hong Kong, current and expected salary and your availability to commence employment by clicking. Apply Now. .. Personal data collected will be used for recruitment purpose only. 所有個人資料只供招聘用途",Entry level
https://www.ctgoodjobs.hk/job/business-planning-analyst/05153359,Business Planning Analyst,YesStyle.com Limited," Kwai Fong
", 3-4 yr(s)," 2018-06-02
",Job ref no.: BPA/06/02/CT,"We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/analyst-trainee-non-graduates/05153382,Analyst / Trainee (Non - Graduates),Yes Plum Limited," 5 Locations
", 0-1 yr(s)," 2018-06-02
",Job ref no.: CT3115812-01#0007,"Career opportunities in Plum 工作機會. . Drive strategy, build an innovative business that will impact millions of people. . 高曕遠觸，創新思維. . Be coached and mentored directly by CEO. . 直接與CEO對話，意見交流. . Involve in decision making at the highest level. . 高度決策. . Coordinate & execute regional projects. . 參興及實行國際性的企業計劃. . Support daily operation of the business including user acquisition,     marketing, sales management and logistics management. . 支援日常工作程序，包括收集 資料、市場推廣、銷售推廣及物流管理. . . Requirements 要求. . Passionate for a career in tech startup business. . 致力於新開創的公司. . Excellent interpersonal and communication skills. . 良好的人際關係及溝通技巧. . Self-starter who is eager to learn and explore. . 對學習未知的層面擁有正向能量. . Flexibility and adaptability. . 靈活變通及樂於適應新挑戰. . Come join us to disrupt the way people have lunch.. We offer an attractive remuneration package and the opportunity to work in a dynamic and exciting environment. Please send your resume stating your right to work in Hong Kong, current and expected salary and your availability to commence employment by clicking. Apply Now. .. Personal data collected will be used for recruitment purpose only. 所有個人資料只供招聘用途",Entry level
https://www.ctgoodjobs.hk/job/business-planning-analyst/05153357,Business Planning Analyst,YesStyle.com Limited," Kwai Fong
", 3-4 yr(s)," 2018-06-02
",Job ref no.: BPA/06/02/CT,"We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/product-assistant-office-clerk/05153356,Product Assistant / Office Clerk,YesStyle.com Ltd," Kwai Fong
", 0-1 yr(s)," 2018-06-02
",Job ref no.: OPA/06/02/CT,"Responsibilities. :. . Follow up with vendor sourcing, order / delivery arrangement. . Responsible for managing product catalog. . Assist launching new product data. . Handle clerical duties and ad-hoc tasks assigned by the supervisor. . 職責. :. . 負責跟進訂單，如落單、安排產品運送. . 處理產品目錄. . 更新網頁的產品資料. . 協助主管處理日常工作. . Requirements. :. . DSE or above. . Familiar with Excel and other basic computer skills. . Good communication skills. . Willing to deal with product data and detail works. . Well-organized, proactive, self-motivated, detail-minded & responsible. . Interested in e-commerce/ on-line retailing. . Fresh graduate will be considered. . 要求. :. . 完成中學課程. . 熟悉一般電腦軟件操作，包括MS Office及Excel. . 具有辦公室日常運作經驗優先考慮. . 良好人際關係和溝通技巧. . 有條理、主動、謹慎及有責任感. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to. [via CTgoodjobs. Apply Now. ]. . for application.. To know more about us, please visit. www.yesasia.com. &. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/office-clerk/05153354,Office Clerk,YesStyle.com Limited," Kwai Fong
", 0-1 yr(s)," 2018-06-02
",Job ref no.: EDOC/06/02/CT,"Responsibilities. :. . Follow up with vendor sourcing, order/ delivery arrangement. . Help with managing our product catalog. . Help with launching new product data. . Deal with clerical duties and ad-hoc tasks assigned by the supervisor. . 負責跟進訂單，如落單、安排產品運送. . 處理產品目錄. . 更新網頁的產品資料. . 協助主管處理日常工作. . Requirements. :. . DSE or above. . Familiar with Excel and other basic computer skills. . Good communication skills. . Willing to deal with product data and detail works. . Well-organized, proactive, self-motivated, detail-minded & responsible. . 完成中學課程. . 熟悉一般電腦軟件操作，包括MS Office及Excel. . 具有辦公室日常運作經驗優先考慮. . 良好人際關係和溝通技巧. . 有條理、主動、謹慎及有責任感. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. and. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/accounting-assistant/05153358,Accounting Assistant,YesStyle.com Ltd," Kwai Fong
", 1-2 yr(s)," 2018-06-02
",Job ref no.: AC/06/02/CT,"Responsibilities. :. . Assist in financial accounting function in the Accounts Payable Section. . Handle data checking, data entry and provide routine accounting support to the department. . Take part in the month end closing and preparation of accounting schedules and report. . Handle general accounting clerical duties and filing. . Handling ad hoc duties assigned. . Requirements :. . Diploma in accounting or relevant discipline. . Minimum 1-2 years relevant working experience, with hands-on exposure in cash and bank transactions, payment and accounting schedules. . Experience with computerized accounting software or ERP system is preferable. . High proficiency with MS Excel. . Good command of spoken and written English and Chinese. . Proactive, diligent and self-discipline. . Detailed-oriented, organized and able to meet timeline.. . Responsible and willing to take up additional responsibility, when needed. . Good communication skill and a team player. . Applicants with less experience are welcome for junior post. . Fresh graduates will be also consider. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to. [via CTgoodjobs. Apply Now. ]. for application.. To know more about our company, please visit. www.yesasia.com. &. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.",Entry level
https://www.ctgoodjobs.hk/job/office-clerk-data-entry/05153355,Office Clerk / Data Entry,YesStyle.com Ltd," Kwai Fong
", 0-1 yr(s)," 2018-06-02
",Job ref no.: DE/06/02/CT,"Responsibilities職責. :. . Product data processing for merchandise base on in-house requirement.. . Fast and accurate typing skill. . 把服裝產品資料輸入電腦. . 能快捷和準確地完成資料輸入的工作. . . Requirements 要求. :. . HKDSE or above. . Able to read and understand Simplify Chinese. . Good command in written Chinese & English. . Cha-Jei Chinese Input Method with 40 WPM. . Self-motivated and able to produce high quality work independently under tight deadlines. . Immediately available is preferred. . 香港中學文憑或以上程度. . 能閱讀和理解簡體中文. . 能讀寫良好中、英文. . 懂中文倉頡或速成輸入法，每分鐘可輸入40個中文字. . 積極主動、獨立地準時完成工作. . 能即時上班者優先考慮. . We offer a generous remuneration package including Performance Bonus and Long Service Recognition Program, MPF, Medical Insurance, Staff Purchase Discount and Training & Development Program to the right candidate.. Please send your full resume stating our reference code, your current and expected salary to [via CTgoodjobs. Apply Now. ] for application.. To know more about us, please visit. www.yesasia.com. ,. www.yesstyle.com. .. All information provided by applicants will be treated in strict confidence and used only for the recruitment purpose in accordance with employer's data policies.. ",Entry level
https://www.ctgoodjobs.hk/job/logistic-officer/05153360,Logistic Officer,YesStyle.com Ltd," Kwai Fong
", 0-2 yr(s)," 2018-06-02
",Job ref no.: LO/06/02/CT,"Responsibilities. :. . Responsible for warehouse inventory, order management & system control. . Handle all order fulfillment. . Handle internal service, return goods, shipment problem. . Assist full logistics job. . 職責. :. . 品質檢察, 存倉. . 出貨, 收貨, 包裝貨品. . 處理跟單和電郵工作. . 處理其他倉務工作. . Requirements. :. . DSE or above, 1 year working experience in warehouse. . Good computer literate. . Good command in spoken & written English and Chinese. . Hard working with strong sense of responsibility and a good team player. . 職位要求. :. . 完成中學課程及擁有一年文書工作經驗. . 具基本電腦操作知識(Email、Internet、MS Excel、中英文文書處理). . 能讀寫英語及粵語. . 優厚員工福利. :. . 12天有薪年假. . 醫療保險. . 有薪病假、生日假、婚假. . 員工購物優惠. . 五天工作. . 長工獎. . 在職培訓. . 強積金福利. . 求職者請將履歷表電郵至 [our mailbox through CTgoodjobs. Apply Now. ].. 申請者可瀏覽本公司網頁. www.yesasia.com. ,. www.yesstyle.com. .",Entry level
