abs_link,title,er,loc,exp,post_date,ref_no,content
https://www.ctgoodjobs.hk/job/遊輪預訂主任會員服務/05151971,遊 輪 預 訂 主 任 ( 會 員 服 務 ),Adecco Personnel Limited," Kowloon Bay

", 0-2 yr(s)," 2018-06-02

",Job ref no.: JP-CS,"職責：. . 處理會員查詢. . 為顧客預訂、更改及取消行程. . 為會員管理績分及禮物換取. . 推廣最新服務及優惠. . 其他文書及電腦輸入工作. . 要求：. . 文憑程度或以上. . 一年工作經濟或以上優先. . 歡迎應屆畢業生. . 能操流利英語及國語. . 待遇：. . 五天工作週. . 遊輪員工優惠. . Interested parties, please send your CV to [via CTgoodjobs. Apply Now. ] . Please note that only short listed candidates will be notified. All information gathered will be treated in strict confidence and solely used for recruitment purposes.. . "
https://www.ctgoodjobs.hk/job/project-copywriter-fresh-graduates-are-welcomed/05153322,Project Copywriter (Fresh Graduates are Welcomed),AdTactics Marketing International Limited," Kwun Tong

", 0-5 yr(s)," 2018-06-02

",Job ref no.: CT3115751-01#0004,". Job Description & Responsibilities. . • Create compelling and quality copy for various mediums (e.g. Social Medias, Advertisements, Website) to gain community’s engagements towards clients’ products or services. • Edit and proofread copy as needed with ability to spot out grammatical errors to ensure accuracy.. • Enthusiastic, detail-minded with good organization ability, communication skills and responsible personality.. • Strong command of written skills in Traditional Chinese, Simplified Chinese and English. . Requirements:. . • Higher diploma or above with major in Marketing, Journalism, PR or related discipline;. • Fresh Graduate is welcomed;. • Proficient in English & Chinese copywriting & editing skills;. • Good team player with creative thinking and strong interpersonal skills;. • Ability to work under deadlines. "
https://www.ctgoodjobs.hk/job/finance-manager/05152226,Finance Manager,ATAL Engineering Group 安 樂 工 程 集 團," -

", 8 yr(s)," 2018-06-02

",Job ref no.: FIN/FM,". Responsibilities:. . Business / Financial analysis of the group as well as operating units performance, reporting to Management. . Financial planning & modelling, facilitate decision making. . Close liaison with business units and other departments on budget, forecast, cost and working capital control. . Maintain finance policies & procedures, and ensure key controls are in place. . . Requirements:. . Degree holder in Accounting, Finance or similar discipline. . Professional qualifications are preferred. . Minimum 8 years’ relevant experience in sizeable company; with background in construction / engineering industry is an advantage. . Proficiency in Microsoft office and applications; and financial modelling. . Knowledge in ERP is highly preferred. . Excellent communication and interpersonal skills. . Flexible, able to work under pressure and attentive to details. . Proficient in both written and spoken English and Chinese. . . . We offer good environment to grow your career.. If you are interested, please click the Apply button below or please send your full resume stating relevant job reference, present and expected salary and availability to Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. www.atal.com. .. Please quote employer’s reference number on your application.. Personal data collected will be treated in strict confidence and used for recruitment related purposes only."
https://www.ctgoodjobs.hk/job/legal-officer-assistant-legal-officer/05152227,Legal Officer/ Assistant Legal Officer,ATAL Engineering Group 安 樂 工 程 集 團," North Point

", 4-6 yr(s)," 2018-06-02

",Job ref no.: LNI/LO,". Responsibilities:. . Provide support to Legal Department to handle intellectual property, license, leasing, corporate and commercial transactions related agreement and related legal issues. . . Ensure compliance with laws and regulations. . . Draft & review commercial and legal agreements & documents. . . Perform any ad hoc tasks as assigned. . . Requirements:. . Higher Diploma or above in legal studies or related disciplines. . Minimum 4 years’ experience in legal field; E & M or construction industry experience will be an advantage. . Conscientious, self-motivated with strong organization skills. . Good command in both written and spoken English, Chinese & Mandarin. . High proficiency in MS Office, including Word, Excel, PowerPoint. . Less experience will be considered for the position of Assistant Legal Officer. . Immediately available is preferred. . . . We offer good environment to grow your career.. If you are interested, please click the Apply button below or please send your full resume stating relevant job reference, present and expected salary and availability to Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. www.atal.com. .. Please quote employer’s reference number on your application.. Personal data collected will be treated in strict confidence and used for recruitment related purposes only."
https://www.ctgoodjobs.hk/job/senior-quantity-surveyor-ref-bssgsqs/05151689,Senior Quantity Surveyor (REF: BSSG/SQS),ATAL Engineering Group 安 樂 工 程 集 團," -

", 8 yr(s)," 2018-06-02

",Job ref no.: BSSG/SQS,". Responsibilities:. . Assist Senior Contracts Administration Manager in handling contractual and commercial matters of multi-discipline engineering projects.. . Review correspondence and give advice on responses regarding contractual matters. . Perform periodic review on progress of projects, give advice on potential delays and highlight risk factors. . Assist project team to prepare and maintain contemporary records. . Prepare claim submissions. . Perform general quantity surveying functions. . Liaise with external and internal parties on contractual matters. . . Requirements:. . Degree in Quantity Surveying / Engineering or related disciplines. . Professional membership in HKIS / RICS / HKIE / HKICM / CIOB is an advantage. . At least 8 years relevant working experience in contract administration of railway / infra-structure / multi-disciplinary building projects. . Strong sense of responsibility, self-motivated and able to work independently as well as a good team player. . Good interpersonal, communication and presentation skills. . Good command of written and spoken English and Chinese. . Higher position will be offered to the candidate with more relevant experience. . We offer good environment to grow your career. If you are interested, please click the Apply button below, or please send your full resume stating relevant job reference, present and expected salary and availability to [via CTgoodjobs. Apply Now. ] or Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. www.atal.com. .. Please quote employer’s reference number on your application.. Personal data collected will be treated in strict confidence and used for recruitment related purposes only."
https://www.ctgoodjobs.hk/job/engineer-–-electrical-ref-bssee/05151660,Engineer – Electrical (REF: BSSE/E),ATAL Engineering Group 安 樂 工 程 集 團," -

", 4 yr(s)," 2018-06-02

",Job ref no.: BSSE/E,". Responsibilities:. . Responsible for tendering, design work, project execution and supervision of Electrical Services project. . . Requirements:. . Higher Diploma in Electrical Engineering or equivalent. . Minimum 4 years post-qualification experience in tendering and managing electrical projects. . Enthusiastic, self-motivated, good interpersonal, leadership and project management skills. . Good command of both written and spoken English and Chinese. . . We offer good environment to grow your career.. If you are interested, please click the Apply button below, or please send your full resume stating relevant job reference, present and expected salary and availability to [via CTgoodjobs. Apply Now. ] or Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. www.atal.com. .. Please quote employer’s reference number on your application.. Personal data collected will be treated in strict confidence and used for recruitment related purposes only."
https://www.ctgoodjobs.hk/job/accountantassistant-accountant-financial-analyst-role/05152225,Accountant/Assistant Accountant (Financial Analyst Role),ATAL Engineering Ltd. 安 樂 工 程 有 限 公 司," North Point

", 2-5 yr(s)," 2018-06-02

",Job ref no.: FIN/AA/Report,". Responsibilities:. . Responsible for handling daily accounting matters, month-end closing & internal control. . Close liaison with business units and other departments on budget, forecast and cost control. . Prepare management reports, schedules, reconciliation & perform financial analysis. . Perform any ad hoc tasks as assigned. . . . Requirements:. . Degree in Accountancy, Finance or similar discipline. . Professional qualifications are preferred. . Minimum 4 years’ relevant experience with background in construction / engineering industry is an advantage. . Proficiency in Microsoft office and applications; well versed in Excel, VBA knowledge/ experience is highly preferred. . Knowledge in ERP and experience in Microsoft AX is an advantage. . Good communication skills, able to work and interface well with personnel at various levels. . Proactive, independent, committed and with strong sense of responsibility to meet tight deadlines. . Proficient in both written and spoken English and Chinese. . . . We offer good environment to grow your career.. If you are interested, please click the Apply button below or please send your full resume stating relevant job reference, present and expected salary and availability to Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. . www.atal.com. .. Please quote employer’s reference number on your application.. Personal data collected will be treated in strict confidence and used for recruitment related purposes only.. "
https://www.ctgoodjobs.hk/job/senior-accounts-clerk-18-mth-contract-ref-finsac/05152224,Senior Accounts Clerk (18-mth contract) (REF: FIN/SAC),ATAL Engineering Ltd. 安 樂 工 程 有 限 公 司," North Point

", 2-5 yr(s)," 2018-06-02

",Job ref no.: FIN/SAC,". Responsibilities:. . . Handle accounts receivables daily operations including billing and collection. . . Maintain cash flow record. . . Assist in data conversion and related tasks. . . Handle clerical works. . . Perform any ad hoc tasks as assigned. . . Requirements:. . . Higher Diploma in Accounting or related disciplines. . . At least 2 years working experience in accounting. . . Proficiency in excel. . . Practical experience with Flex Accounts and Microsoft Dynamics AX preferred. . . Detailed mind, responsible, keen to learn, can meet tight timeline. . . A good team player and can work under pressure. . . Proficiency in both written and spoken English and Chinese. . . Immediate availability is definitely an advantage. . . . We offer a good environment to grow your career.. If you are interested, please click the Apply button below or please send your full resume stating relevant job reference, present and expected salary and availability to Human Resources Department, 13/F, Island Place Tower, No. 510 King’s Road, North Point, Hong Kong. For more information, please visit our website. www.atal.com. .. . Please quote employer’s reference number on your application.. . Personal data collected will be treated in strictest confidence and used for recruitment related purposes only."
https://www.ctgoodjobs.hk/job/human-resources-officer/05153294,Human Resources Officer,Atta-Trans Ltd," Kwai Chung

", 1-2 yr(s)," 2018-06-02

",Job ref no.: CT3116138-01#0001,". DSE / F. 7 or above of education. . 1-2 years HR experience in labour intensive industry. . Conversant with Employment Ordinance. . Excellent in MS Word, Excel and Chinese word processing. . Meticulous, independent & good interpersonal skills. . Good command of spoken / written English and Chinese. . Immediate available is preferable. . Fresh graduate will also be considered. . Candidates with less experience will be considered as Assistant Human Resources Officer.. 5 days per week (only once a month Saturday half day working).. Interested parties please send your full resume together with present and expected salary by clicking. Apply Now. (All Personal Information will be used for recruitment purpose only.). "
https://www.ctgoodjobs.hk/job/receptionistadministrative-assistant/05153203,Receptionist/Administrative Assistant,Best Vicks Co Ltd," Wanchai

", 1-5 yr(s)," 2018-06-02

",Job ref no.: CT3115276-01#0047,"Responsibilities:. . Perform full reception function in a professional manner. . Handle administrative duties. . . Requirements:. . Solid receptionist experience in relevant legal discipline. . Fluent in Cantonese, English and Mandarin. . Proficient in PC applications and Chinese Word Processing. . Good working attitude and able to take up diversified duties. . Competitive compensation such as medical & dental insurance, travel allowance, time keeping bonus, and an extra one day annual leave after completion of the first two year employment and up to 17 days annual leave will be offered to the right candidates.. . Visit. www.vcclawservices.com. for more information about the firm. Please apply by sending your detailed resume, current salary, expected salary, availability and daytime contact number to [via CTgoodjobs. Apply Now. ]. The information provided will be kept confidential and used for recruitment purposes only."
